,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
MRT,NA,NA,NA,NA,12331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96012,NA,NA,NA,NA,NA,NA,8726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,249616,NA,NA,NA,38324,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105730,NA,93247,NA,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14243,NA,NA,NA,NA,NA,NA,3624,NA,NA,NA,16303,NA,NA,NA,NA,NA,2010,13572,NA,NA,NA,9618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7180,NA,NA,NA,NA,NA,NA,18852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS,NA,NA,NA,NA,NA,NA,NA,20460,NA,NA,NA,56309,8487,NA,NA,NA,NA,NA,NA,95742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13861,NA,NA,NA,1471,106274,48611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2343,NA,NA,NA,NA,NA,NA,NA,NA,NA,587266,NA,NA,NA,128742,NA,NA,1477,NA,NA,NA,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,NA,NA,10189,5404,110645,NA,81794,NA,NA,NA,NA,NA,29693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42281,NA,NA,NA,NA,NA,NA,2167,NA,NA,NA,NA,35861,NA,NA,9202,NA,NA,NA,3106,NA,966,NA,24726,NA,NA,NA,NA,538,NA,18515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95383,NA,NA,NA,290677,55500,NA,NA,NA,NA,NA,NA,10262,43938,NA,NA,NA,NA,NA,25605,NA,NA,NA,NA,NA,NA,507079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,NA,NA,NA,NA,281435,NA,NA,803868,NA,NA,NA,612624,319658,NA,48072,NA,19007,5132,NA,958366,40428,NA,NA,35815,NA,NA,2776277,32355,NA,NA,NA,NA,NA,12352317,NA,NA,NA,1571824,3616920,724858,14784,NA,833391,NA,475791,NA,NA,NA,5154,56403,NA,NA,197755,NA,548458,NA,191108,NA,11113,263468,NA,4651,1175,NA,NA,NA,NA,272653,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200457,NA,NA,NA,7498390,327,NA,43028,NA,NA,625386,NA,NA,1628,7023,213068,256887,440,NA,553920,NA,70432,NA,544337,359176,2752818,255435,9943920,412,52102,2740,NA,171050,4388537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534230,NA,22804,NA,NA,NA,NA,98628,NA,NA,NA,927677,900229,NA,NA,247532,116075,NA,29184,174338,NA,3155,NA,52208,392481,NA,9457,424948,636737,149177,231478,1073,NA,33665,193447,NA,NA,470983,2454,NA,NA,1036179,NA,20482,NA,252195,3206070,45955,NA,18516,NA,11641,12920,1412987,935425,9188,2756346,NA,4108,NA,656584,NA,119165,NA,112568,NA,NA,2133417,NA,35554,193220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316167,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,3040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12258,NA,NA,NA,28433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21053,NA,34961,NA,12751,NA,NA,NA,53186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136106,NA,NA,NA,NA,NA,NA,11181,NA,NA,NA,NA,621,NA,NA,NA,NA,NA,NA,NA,3012,NA,NA,NA,NA,NA,510,NA,NA,NA,2406,NA,NA,16227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,NA,NA,NA,NA,194086,NA,20840,103053,NA,NA,NA,48811,59372,NA,NA,2839,NA,NA,NA,434107,NA,11642,NA,NA,NA,NA,258581,31646,7449,NA,NA,NA,15072,287390,NA,NA,NA,10486,320937,38048,NA,NA,8316,14362,7239,30596,12033,NA,12578,20106,NA,NA,55085,NA,1996,NA,NA,NA,53148,18343,2845,NA,1620,NA,NA,NA,NA,133172,NA,NA,NA,NA,NA,NA,NA,NA,NA,5151300,24483,NA,NA,1040391,5675,6799,87234,NA,NA,NA,18945,NA,NA,NA,NA,17092,398,NA,35911,NA,398377,481769,69270,8306,1050566,NA,527386,7862,4713,1355,NA,NA,142251,15700,NA,NA,NA,NA,10355,NA,121516,6765,1872,NA,29265,12888,3156,NA,2167,98628,NA,NA,NA,NA,NA,NA,336558,NA,NA,103179,NA,NA,7102,50680,NA,2364,NA,31192,NA,NA,NA,4328,3222,108360,128949,4455,NA,40083,310124,NA,NA,641453,15527,NA,NA,165523,6122,3848,NA,88621,2015556,3223,NA,NA,NA,619,NA,271371,150209,19735,87469,NA,NA,NA,54705,4862,NA,81303,165878,NA,NA,1378286,98978,23510,5334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9142,NA,NA,NA,NA,NA,NA,26624,NA,NA,NA,NA,NA,NA,5973,NA,NA,NA,NA,NA,NA,8417,NA,NA,NA,NA,30397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41943,NA,NA,NA,20674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8423,NA,NA,NA,NA,NA,27403,NA,39024,NA,NA,NA,NA,NA,6498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759,265,96795,NA,NA,329,NA,NA,NA,NA,NA,NA,NA,5953,NA,NA,NA,743433,59799,NA,NA,NA,NA,NA,NA,NA,3371,NA,NA,NA,NA,NA,14931,NA,NA,NA,1284,NA,NA,30246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18191,6722,NA,NA,NA,NA,NA,NA,19348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614706,36583,NA,NA,NA,NA,NA,NA,NA,NA,NA,671,NA,NA,15667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,87393,NA,NA,NA,121685,NA,NA,1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82012,NA,NA,NA,2392,NA,39521,NA,309743,NA,NA,NA,NA,NA,306884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26634,NA,NA,5873,NA,NA,NA,NA,NA,NA,NA,23045,NA,NA,NA,NA,11390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536284,3676,NA,NA,NA,17807,NA,NA,NA,NA,NA,NA,NA,3180,NA,NA,NA,NA,NA,756180,NA,NA,NA,NA,NA,NA,84133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4381,5998,NA,NA,NA,NA,NA,NA,11779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8612,NA,NA,NA,NA,199405,7954,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629,NA,NA,2397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,29959,NA,NA,NA,109115,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16953,NA,55308,NA,NA,NA,NA,NA,19365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7602,NA,NA,19206,NA,NA,NA,NA,NA,NA,NA,4237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3526,NA,NA,NA,NA,NA,NA,101237,NA,NA,NA,NA,4943,NA,NA,NA,NA,NA,NA,2900,14947,NA,NA,NA,NA,NA,26502,NA,NA,NA,1643,NA,NA,21119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817,5067,NA,NA,NA,NA,NA,NA,55925,NA,NA,NA,NA,NA,NA,133261,NA,NA,NA,NA,NA,NA,38847,NA,NA,NA,NA,NA,1220,NA,NA,77304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154444,NA,NA,NA,127423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27123,NA,NA,NA,NA,NA,170158,NA,70275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927677,NA,NA,NA,NA,NA,NA,266296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25618,2037,785,3902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76866,NA,NA,NA,NA,69196,NA,NA,NA,NA,NA,NA,NA,18052,NA,NA,NA,NA,NA,9187,NA,NA,NA,16910,NA,NA,132411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLD,4726,NA,NA,9811,1421754,110030,NA,573472,6820,13862,NA,1268550,3014616,12810,4841,56427,276781,9397,142237,44990475,5319,48381,29692,10437,58904,NA,2683833,191709,4863,8524,NA,18903,141541,1671371,NA,885,NA,415175,7642000,2995209,58887,NA,270508,33921,240472,356027,191720,91113,103939,1363526,NA,50848,4964412,NA,186679,NA,107491,NA,515115,13114,9609,375826,36706,NA,NA,NA,511,2942436,NA,NA,NA,NA,NA,NA,NA,2710,NA,24615766,38948,20023,13875,71038109,305954,NA,1942347,NA,NA,72265,19401,16318,24694,16833,48625,1886067,326619,NA,1729216,NA,907768,653961,4732477,2275832,17659596,213499,10124505,99497,106246,220974,1660,18683,3209092,1542608,NA,NA,12774,408187,104477,13860,177431,240689,14607,39226,3341976,7655,86174,14243,35861,900229,6317,336558,14560,26634,7602,266296,NA,NA,11490,216830,11744,10210,498833,6162312,6299,114563,NA,333434,32506,17634,40896,94277,3452818,2932897,2543238,61275,28827,562103,4246768,10226,NA,3230513,48938,17219,13639,4403612,372180,335886,NA,1104677,9342080,120398,NA,30162,NA,49160,121083,8821522,6950766,71136,5649229,2613,85907,77651,2482304,43909,23715,363037,2493630,4419,45824,38884688,309073,804562,58926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274244,1218,NA,NA,NA,NA,NA,NA,37189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7738,NA,NA,NA,NA,NA,33112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19529,NA,NA,NA,NA,NA,NA,NA,NA,NA,903146,NA,NA,NA,38119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52945,NA,338613,NA,NA,NA,NA,NA,70700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11490,NA,NA,82486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99447,NA,NA,NA,NA,79018,NA,NA,NA,NA,NA,NA,NA,5782,NA,NA,NA,NA,NA,10611,NA,NA,NA,NA,NA,NA,17880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,NA,NA,NA,NA,NA,NA,191586,83231,NA,NA,NA,5803919,70415,NA,NA,12534,10350,8677,NA,363384,NA,NA,NA,745,NA,NA,75742,367,NA,NA,NA,1251,NA,563457,NA,NA,NA,52780,1499353,470459,2085,NA,5916,NA,625,NA,NA,8080,NA,7663,NA,NA,106270,NA,12624,NA,26162,NA,62029,NA,NA,NA,NA,NA,NA,NA,127478,89898,NA,NA,NA,NA,NA,NA,NA,NA,NA,490643,NA,NA,NA,993709,2328,NA,35202,NA,NA,1769,NA,NA,3757,NA,NA,6798,1589,NA,355012,NA,42330,NA,79574,25529,517478,19686,3743409,14325,3474,1542,7192,NA,998516,41734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651291,NA,4159,NA,9202,247532,NA,103179,NA,5873,19206,NA,216830,NA,82486,1434,NA,NA,37660,24158,NA,100733,NA,40973,20878,59707,NA,37636,210412,16658,26642,63804,NA,2949,73751,NA,23173,448976,NA,1772,NA,412007,3671,4323,NA,82900,133378,70720,NA,NA,NA,NA,NA,189835,157485,NA,684122,NA,NA,NA,390044,NA,NA,6235,49229,NA,NA,1311349,4666,296020,5838,21969,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6157,NA,NA,NA,NA,NA,NA,16614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47362,NA,NA,NA,NA,41274,2992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7354,NA,NA,NA,NA,NA,NA,NA,NA,NA,25548,NA,NA,NA,83199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,3035,NA,NA,NA,1814,1163,12568,NA,83750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116075,NA,NA,NA,NA,NA,NA,11744,NA,NA,NA,NA,NA,853,1039,NA,NA,NA,976,NA,NA,NA,NA,NA,NA,1386,NA,NA,8704,8751,NA,NA,NA,NA,NA,NA,NA,353,NA,NA,282,30744,NA,NA,NA,NA,NA,NA,8695,11926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142079,NA,NA,NA,30759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10760,NA,NA,NA,2249,NA,5246,NA,6787,NA,NA,NA,NA,NA,265907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10210,NA,NA,NA,NA,NA,1181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199,NA,NA,NA,NA,NA,NA,6286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGA,NA,NA,NA,NA,21563,7436,NA,243518,NA,NA,NA,43603,236973,NA,NA,NA,NA,NA,NA,484675,NA,59746,NA,NA,NA,NA,1007610,NA,NA,NA,NA,NA,356194,347146,NA,NA,2994,314285,666600,123509,NA,NA,NA,3070,NA,1240194,NA,NA,NA,5973,NA,NA,64289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44120,3669,NA,NA,NA,NA,NA,NA,NA,NA,NA,1623142,NA,NA,NA,1358720,397087,NA,54103,NA,NA,NA,19279,NA,NA,NA,NA,6468,NA,NA,504020,NA,NA,468,50101,NA,2073731,NA,623163,NA,4116,NA,NA,49697,264854,NA,NA,NA,NA,NA,NA,824,NA,NA,3526,NA,26330,7028,NA,NA,NA,29184,NA,7102,NA,NA,NA,NA,498833,NA,NA,37660,853,1181,NA,28835,NA,NA,NA,NA,NA,NA,NA,69208,NA,30882,823025,NA,NA,NA,284729,NA,NA,21407,357098,NA,NA,86508,NA,1274,NA,286554,2519144,NA,NA,NA,NA,NA,NA,157737,501908,NA,444759,NA,NA,NA,191214,NA,NA,NA,156321,NA,NA,1206577,NA,50081,70237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,NA,NA,NA,NA,12737,NA,NA,61855,NA,NA,NA,152213,322515,NA,NA,15174,39334,2574,8709,2405804,NA,NA,57796,NA,NA,NA,480698,14554,NA,NA,NA,NA,1585,3911927,NA,NA,NA,66082,1589382,267780,6247,NA,55526,10685,25493,2530,103328,1751,59324,425503,NA,741,4462683,NA,22024,NA,2438,NA,35285,1831,NA,133919,1272,NA,NA,NA,NA,2505420,NA,NA,NA,NA,NA,NA,NA,NA,NA,8637757,6279,NA,NA,13796890,7995,NA,246117,44274,NA,15365,750,NA,NA,NA,2676,126855,271786,NA,111884,NA,16077,NA,1378576,120119,1836437,290460,2948929,NA,5549,13662,NA,NA,1252430,6244,NA,NA,2602,81547,8079,285397,NA,94249,NA,1349,158840,913,29245,3624,3106,174338,NA,50680,NA,NA,NA,NA,6162312,NA,NA,24158,1039,NA,28835,NA,NA,2534,NA,40825,166429,NA,1201,78021,37374,774825,883540,NA,NA,96890,1031846,NA,NA,65592,NA,NA,NA,272265,42968,69985,NA,160192,1485198,10725,NA,36159,NA,1106,100117,10908200,540668,NA,664825,NA,7061,NA,179658,NA,1051,11090,365223,NA,7885,11562064,88221,90621,19551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,NA,NA,NA,NA,NA,NA,NA,NA,619,NA,NA,193171,10876,NA,NA,34496,868,NA,NA,33168,NA,NA,NA,NA,NA,NA,16728,4412,NA,NA,NA,NA,NA,17901,NA,NA,NA,22645,3350894,50023,NA,NA,NA,NA,NA,NA,NA,NA,3383,NA,NA,NA,25174,NA,NA,NA,NA,NA,19506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100822,NA,NA,NA,189205,NA,NA,3342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25925,NA,60906,NA,20398,NA,91852,NA,2944068,29548,3938,NA,NA,NA,1914566,76448,NA,NA,NA,NA,5345,NA,NA,NA,NA,NA,433695,NA,NA,NA,966,3155,NA,2364,NA,NA,NA,NA,114563,NA,NA,100733,NA,NA,NA,2534,NA,NA,NA,81508,NA,NA,NA,NA,224634,620,652,23614,NA,NA,7031,NA,NA,235640,NA,NA,NA,264378,NA,NA,14694,7003,37101,5962,NA,NA,NA,NA,NA,31829,39950,17692,415962,NA,57567,NA,1002821,NA,NA,1590,NA,NA,NA,410923,37236,10978611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45157,NA,NA,NA,NA,NA,83262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,160968,89103,NA,NA,1157,NA,NA,85929,NA,2458,NA,416813,52911,726,4341,152694,174577,NA,NA,297480,NA,19470,2298,349,NA,NA,54805,1711,NA,5588,375,NA,4132,262258,NA,NA,NA,41382,1034979,607797,882,NA,NA,NA,NA,1960,953,NA,6713,16456,NA,472,54697,NA,NA,NA,NA,NA,69615,NA,NA,NA,4244,NA,NA,NA,NA,29692,NA,NA,NA,NA,NA,NA,NA,NA,NA,571503,NA,NA,NA,911226,NA,NA,50084,NA,NA,12349,312,NA,898,NA,NA,20622,NA,NA,296385,NA,367641,NA,46058,NA,397898,NA,861791,42789,2343,162923,NA,1961,617028,1336776,NA,NA,NA,NA,NA,NA,NA,13317,NA,4658,478605,NA,NA,16303,24726,52208,NA,31192,NA,23045,4237,NA,333434,NA,NA,40973,976,NA,NA,40825,NA,81508,NA,NA,11024,NA,NA,2292,28497,32410,84142,66932,NA,9330,88271,NA,NA,1293620,NA,NA,NA,342036,8097,5537,1515,91206,217044,114281,NA,NA,NA,6347,NA,103623,327939,4044,247839,2081,28523,NA,252189,NA,NA,23803,159365,715,3126,911336,19110,1731825,3440,372,NA,NA,NA,NA,NA,NA,NA,NA,NA
